CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,6,09011110,21,23,PR,1,817800,92,92400,728341
2025,5,12019000,21,160,DF,1,817800,22927,22924957,9132041
2025,4,10063021,10,267,SC,1,917800,550,550,1095
2025,6,10061092,10,776,SP,1,717800,25,25,66
2025,1,09011110,21,383,MG,1,717800,26,26400,147048
2025,6,10071000,10,63,GO,7,1017500,23000,23000,41750
2025,3,07136090,10,434,AM,1,227600,150,150,500
2025,3,10063021,10,589,MT,2,227603,100000,100000,81000
2025,2,10059010,10,372,GO,1,817800,596714,596714,120484
2025,1,10063021,10,476,SP,1,817800,3818,3818,6346
2025,6,07134090,10,476,MA,1,317903,52,52,171
2025,3,07134090,10,434,PR,1,917800,10,10,40
2025,5,10063021,10,434,PA,1,217800,200,200,333
2025,5,07133190,10,190,SP,1,817800,7,7,25
2025,2,09011110,21,23,RO,1,817800,119,119200,490800
2025,4,07133190,10,476,ES,1,710251,5,5,38
2025,1,09011110,21,275,SP,1,817800,880,879897,5041885
2025,3,12019000,21,160,MS,1,817800,198163,198163990,76072391
2025,4,12019000,21,776,MT,1,317903,10695,10694513,4137134
2025,5,12019000,21,820,PA,1,210200,5000,5000000,1896050
2025,4,07133290,10,580,SC,1,917800,12,12,47
2025,6,10063021,10,434,MA,1,317903,555,555,748
2025,5,12019000,21,245,PA,1,217800,112455,112456490,43157388
2025,3,09011110,21,365,ES,1,717600,249,249275,961703
2025,1,10081090,10,580,ES,1,727600,5,5,13
2025,4,12019000,21,573,MT,1,227600,10807,10806797,3942948
2025,1,10063021,10,301,SP,1,812051,100,100,118
2025,2,07133110,10,580,SP,1,817800,10,10,24
2025,6,07133399,10,399,SP,1,817800,21000,21000,30826
2025,5,10063021,10,199,RS,1,817800,732775,732775,466296
2025,2,09011110,21,63,RO,1,817800,26,26400,148280
2025,4,12019000,21,245,MT,1,210200,89433,89434382,35069147
2025,1,09011110,21,815,ES,1,717600,40,39000,166065
2025,4,07081000,10,434,SP,1,817800,5,5,13
2025,6,10061092,10,467,PA,1,217800,100,100,157
2025,1,09011110,21,63,SP,7,1017500,26,26400,157960
2025,4,10059010,10,474,MA,1,317903,3906859,3906859,852444
2025,3,10081090,10,301,RJ,1,727600,5,5,31
2025,2,12019000,21,160,PR,1,917800,651214,651214000,263875623
2025,3,10063021,10,607,BA,1,510353,150,150,184
2025,4,11042300,10,249,MG,1,817800,40440,40440,85803
2025,3,10061092,10,455,SP,1,717600,15,15,132
2025,1,10059010,10,81,GO,1,817800,52548923,52548923,10271197
2025,2,09011110,21,827,ES,1,717800,370,369600,2276916
2025,6,07133590,10,163,PA,0,210200,8,8,42
2025,2,10063021,10,77,MA,1,317903,120,120,109
2025,4,07081000,10,163,SC,1,917800,20,20,20
2025,5,12019000,21,337,RR,7,260152,82,82000,123000
2025,5,10061092,10,476,AP,1,240152,280,280,541
2025,6,10051000,10,281,MG,4,817600,3082,3082,32520
2025,6,10063011,10,149,RS,1,1017700,199680,199680,121800
2025,2,10063011,10,149,RS,1,1017700,149071,149071,116900
2025,3,09011110,21,399,MG,0,9999999,861,861600,5335124
2025,3,07081000,10,476,AM,1,227600,10,10,48
2025,6,10059010,10,249,MG,1,817800,1270,1270,2263
2025,4,10051000,10,289,SP,1,817800,227486,227486,691200
2025,4,07133329,10,573,RJ,1,710251,1,1,5
2025,3,12019000,21,161,MA,1,317903,12597,12596986,5093465
2025,2,10062020,10,474,SP,1,812051,15590,15590,4825
2025,3,12019000,21,827,MT,1,210200,184509,184510918,71866118
2025,6,10063011,10,77,PR,1,817800,25,25,109
2025,5,07133399,10,245,PR,1,917800,120000,120000,173184
2025,3,07133329,10,476,SP,1,817800,50,50,163
2025,2,12019000,21,160,MA,1,317903,104914,104914153,41298588
2025,6,10063021,10,77,AL,1,440151,150,150,213
2025,4,10063011,10,815,RS,1,1017700,52080,52080,39164
2025,2,10063021,10,589,RS,1,1017700,4463750,4463750,3215641
2025,1,07133319,10,607,MT,1,917800,500040,500040,442764
2025,4,07133190,10,517,MT,1,817800,75000,75000,53400
2025,5,09011110,21,169,SP,1,817800,915,914800,6472448
2025,6,10063021,10,83,SP,1,817800,400,400,1265
2025,1,10063021,10,77,RJ,1,717600,818,818,3112
2025,5,09011110,21,232,GO,1,817800,21,20650,154081
2025,3,12019000,21,87,GO,1,817800,30935,30934649,11637563
2025,4,09011110,21,53,MG,4,817700,0,2,6
2025,3,10081090,10,580,SP,1,817800,24,24,40
2025,5,07081000,10,163,SC,1,927700,40,40,43
2025,1,10059010,10,59,PR,1,927700,32592728,32592728,6868749
2025,6,09011110,21,431,ES,1,717600,290,290400,1891560
2025,5,12019000,21,676,MG,1,710251,29940,29940560,12099280
2025,6,09011110,21,628,MG,1,717800,76,76800,653294
2025,4,07136090,10,434,AM,1,227600,60,60,144
2025,6,09011110,21,249,SP,1,817800,1821,1821900,13764740
2025,4,09011110,21,190,SP,1,817800,558,560635,4806684
2025,1,07133190,10,434,SC,1,927502,20,20,79
2025,6,09011110,21,767,MG,0,9999999,681,680700,5262356
2025,3,11042300,10,249,PR,1,817800,65,65,126
2025,1,10062020,10,476,PR,1,917800,400,400,308
2025,4,09011110,21,23,MG,1,717600,309,308940,2132725
2025,2,10059010,10,240,PR,1,927700,87819331,87819331,18780550
2025,4,12019000,21,63,MS,2,147852,80362,80362404,29268386
2025,2,10063021,10,434,ES,1,217800,300,300,363
2025,4,07133319,10,386,MG,1,717600,48700,48700,38067
2025,3,12019000,21,576,MT,1,317903,17529,17530579,6663780
2025,3,12019000,21,589,AC,7,230154,32,31990,10926
2025,5,07082000,10,434,SP,1,817800,34,34,187
2025,4,07133190,10,580,SC,1,927700,15,15,95
2025,4,12081000,10,105,ES,1,727600,3,3,62
2025,3,09011110,21,386,MG,1,817800,14542,10260837,74685916
2025,4,07136090,10,580,PA,1,217800,55,55,129
2025,6,10063011,10,160,AL,1,517800,350,350,436
2025,3,12019000,21,369,MT,1,227600,25600,25600000,9397504
2025,2,07133190,10,77,RJ,1,717600,1,1,5
2025,4,09011110,21,628,MG,1,717600,87,86800,648434
2025,4,12019000,21,576,MT,1,817800,37058,37057168,14565221
2025,3,10063021,10,467,PE,1,440151,200,200,244
2025,3,09011110,21,399,SP,1,817800,1474,1474999,11162432
2025,3,12019000,21,59,MT,1,240152,45246,45245003,17194275
2025,6,10063011,10,65,RS,1,1017700,27545,27545,14686
2025,1,10059010,10,240,MA,1,217800,60000,60000,11858
2025,3,07133399,10,741,SP,1,817800,30,30,87
2025,3,19043000,10,249,PR,1,927700,375,375,450
2025,3,10061092,10,476,PA,0,210200,310,310,465
2025,4,07133319,10,249,PR,7,917500,26000,26000,18230
2025,6,07133319,10,195,SP,1,717600,10,10,18
2025,1,07134090,10,628,RJ,1,717800,3,3,10
2025,3,07133319,10,776,PR,1,917800,250000,250000,213500
2025,4,12019000,21,160,SP,1,927700,5134,5134237,1980302
2025,2,07133399,10,434,PA,1,217800,10,10,52
2025,6,07133190,10,741,ES,1,727600,10,10,12
2025,2,12019000,21,776,MS,1,927700,26078,26078252,10158019
2025,6,10062020,10,580,SP,1,817800,300,300,1379
