CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,1,10063019,10,476,SP,1,717800,200,200,295
2025,6,10059090,10,538,RJ,1,717800,1,1,11
2025,4,12019000,21,372,MS,1,817800,1700,1700178,686865
2025,3,10063021,10,199,RS,1,1017700,50500,50500,37259
2025,5,12019000,21,776,PA,1,317903,10376,10374984,4058541
2025,1,10063011,10,845,RS,7,1010252,546900,546900,300795
2025,3,10061092,10,580,PA,1,217800,250,250,457
2025,3,10063029,10,434,SP,1,717600,60,60,304
2025,6,12019000,21,767,SC,1,927700,0,6,26
2025,1,10059010,10,369,GO,1,927700,503742,503742,123054
2025,5,10059090,10,249,PA,1,217800,20,20,12
